scores,max_score,average_scores,std
[ 0.   -0.01],0.0,0.05840000092983246,0.05518550621330129
[ 0.1  -0.01],0.10000000149011612,0.05940000094473362,0.055023995632529486
[0.   0.09],0.09000000171363354,0.06030000096186996,0.05478056311034055
[ 0.1  -0.01],0.10000000149011612,0.061300000976771116,0.05458305683923915
[-0.01  0.1 ],0.10000000149011612,0.06140000097453594,0.054644671230509104
[0.   0.09],0.09000000171363354,0.061300000976771116,0.05458305683923915
[ 0.1  -0.01],0.10000000149011612,0.061300000976771116,0.05458305683923915
[0.   0.09],0.09000000171363354,0.06120000097900629,0.05452118940321909
[0.   0.09],0.09000000171363354,0.06210000099614263,0.05424564584494948
[-0.01  0.  ],0.0,0.061100000981241465,0.05445906806004543
[ 0.1  -0.01],0.10000000149011612,0.06210000099614263,0.05424564584494948
[-0.01  0.  ],0.0,0.06120000097900629,0.05452118940321909
[0.   0.09],0.09000000171363354,0.06120000097900629,0.05452118940321909
[0.   0.09],0.09000000171363354,0.06120000097900629,0.05452118940321909
[0.   0.09],0.09000000171363354,0.061100000981241465,0.05445906806004543
[-0.01  0.1 ],0.10000000149011612,0.06210000099614263,0.05424564584494948
[ 0.1  -0.01],0.10000000149011612,0.062200000993907455,0.0543061699359309
[-0.01  0.1 ],0.10000000149011612,0.062200000993907455,0.05430616993593089
[0.1  0.09],0.10000000149011612,0.06230000099167228,0.05436644271134187
[0.1  0.09],0.10000000149011612,0.06330000100657344,0.0541304913352541
[ 0.1  -0.01],0.10000000149011612,0.06330000100657344,0.0541304913352541
[ 0.1  -0.01],0.10000000149011612,0.0643000010214746,0.05387494864263737
[0.   0.09],0.09000000171363354,0.06520000103861094,0.05354400144047998
[-0.01  0.1 ],0.10000000149011612,0.06530000103637576,0.05359953442183995
[-0.01  0.1 ],0.10000000149011612,0.06530000103637576,0.05359953442183995
[-0.01  0.  ],0.0,0.0643000010214746,0.05387494864263737
[ 0.1  -0.01],0.10000000149011612,0.06530000103637576,0.05359953442183995
[0.   0.09],0.09000000171363354,0.06530000103637576,0.05359953442183995
[0.   0.09],0.09000000171363354,0.06520000103861094,0.05354400144047998
[ 0.1  -0.01],0.10000000149011612,0.06330000100657344,0.04868377629166211
[-0.01  0.  ],0.0,0.06330000100657344,0.04868377629166211
[ 0.1  -0.01],0.10000000149011612,0.06330000100657344,0.04868377629166211
[ 0.1  -0.01],0.10000000149011612,0.06340000100433826,0.0487487443324892
[ 0.   -0.01],0.0,0.062400000989437106,0.04901265219188315
[-0.01  0.1 ],0.10000000149011612,0.06340000100433826,0.0487487443324892
[0.   0.09],0.09000000171363354,0.0643000010214746,0.04839948422315466
[ 0.   -0.01],0.0,0.0643000010214746,0.04839948422315467
[-0.01  0.  ],0.0,0.06340000100433826,0.0487487443324892
[0.   0.09],0.09000000171363354,0.06330000100657344,0.04868377629166211
[0.   0.09],0.09000000171363354,0.06420000102370978,0.04833590873345617
[ 0.1  -0.01],0.10000000149011612,0.06420000102370978,0.04833590873345617
[0.   0.09],0.09000000171363354,0.06510000104084611,0.04796863633771254
[0.   0.09],0.09000000171363354,0.06500000104308129,0.04790615902075244
[ 0.1  -0.01],0.10000000149011612,0.06500000104308129,0.04790615902075244
[0.   0.09],0.09000000171363354,0.06590000106021762,0.0475204174126243
[-0.01  0.  ],0.0,0.06490000104531646,0.04784339110205734
[-0.01  0.  ],0.0,0.06490000104531646,0.04784339110205734
[ 0.1  -0.01],0.10000000149011612,0.06590000106021762,0.0475204174126243
[ 0.1  -0.01],0.10000000149011612,0.06690000107511879,0.04717404021213433
[ 0.1  -0.01],0.10000000149011612,0.06690000107511879,0.04717404021213433
[0.   0.09],0.09000000171363354,0.06780000109225512,0.04674569572443763
[ 0.1  -0.01],0.10000000149011612,0.06780000109225512,0.04674569572443763
[0.   0.09],0.09000000171363354,0.06870000110939145,0.04629589687570223
[-0.01  0.  ],0.0,0.06870000110939145,0.046295896875702236
[0.   0.09],0.09000000171363354,0.06860000111162662,0.04623894535502704
[-0.01  0.  ],0.0,0.06860000111162662,0.04623894535502704
[-0.01  0.  ],0.0,0.06760000109672547,0.0466287472360435
[0.   0.09],0.09000000171363354,0.0685000011138618,0.04618170706638713
[0.1  0.19],0.19000000320374966,0.0704000011458993,0.047221182439624323
[ 0.1  -0.01],0.10000000149011612,0.07140000116080046,0.046776490564778714
[ 0.1  -0.01],0.10000000149011612,0.07240000117570161,0.04630593987878635
[-0.01  0.1 ],0.10000000149011612,0.07240000117570161,0.04630593987878635
[ 0.1  -0.01],0.10000000149011612,0.07340000119060278,0.0458087335177378
[ 0.1  -0.01],0.10000000149011612,0.07350000118836761,0.04585575281777911
[ 0.1  -0.01],0.10000000149011612,0.07450000120326877,0.04532935103074475
[-0.01  0.  ],0.0,0.07450000120326877,0.04532935103074475
